'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_base_total'
'208956.recompute_res', False, False, 0.047, 80, 6443, 5530, 6698, 5530
'209007.recompute_res', False, False, 0.125, 99, 32708, 36814, 37441, 32372
'209035.recompute_res', False, False, 20.016, 17, 19775, 36903, 38245, 18679
'20908.recompute_res', False, False, 7.031, 118, 30118, 49275, 52362, 27687
'209088.recompute_res', False, True, '', '', '', '', '', ''
'209095.recompute_res', False, False, 52.953, 49, 69386, 129959, 134494, 65679
'209133.recompute_res', False, False, 75.281, 524, 141635, 229199, 247979, 128456
'209150.recompute_res', False, False, 0.219, 29, 2191, 3255, 3588, 1942
'209154.recompute_res', False, False, 150.812, 124, 90376, 163509, 177323, 82223
'209220.recompute_res', False, False, 54.703, 124, 67788, 125602, 131697, 63584
'209223.recompute_res', False, False, 0.016, 99, 15486, 15288, 15782, 15288
'209224.recompute_res', False, False, 42.766, 279, 45906, 75554, 83710, 40151
'209275.recompute_res', False, False, 32.656, 384, 419633, 794454, 802986, 410080
'209278.recompute_res', False, False, 0.062, 24, 5723, 5467, 5917, 5319
'209427.recompute_res', False, False, 0.812, 62, 6603, 6059, 7208, 5626
'209851.recompute_res', False, False, 0.125, 278, 36423, 34729, 37248, 34569
'209910.recompute_res', False, False, 2.188, 75, 26183, 31933, 33556, 24919
'210015.recompute_res', False, False, 1.25, 19, 4512, 7566, 8352, 3973
'210106.recompute_res', True, False
'210328.recompute_res', False, False, 0.0, 1, 64, 64, 64, 64
'210556.recompute_res', False, False, 0.016, 18, 177, 152, 193, 152
'210574.recompute_res', False, False, 0.016, 38, 8918, 8693, 9062, 8635
'210583.recompute_res', False, False, 8.766, 89, 35129, 63686, 67555, 32625
'210691.recompute_res', False, False, 1.609, 277, 19208, 22274, 29302, 16214
'210740.recompute_res', False, False, 0.156, 374, 94011, 93021, 95275, 92875
'21083.recompute_res', False, False, 80.625, 74, 49547, 87043, 96520, 44127
'210854.recompute_res', False, False, 62.891, 759, 132689, 200481, 225150, 115037
'210954.recompute_res', False, False, 3.578, 64, 8044, 12568, 14551, 6685
'210964.recompute_res', False, False, 0.547, 24, 4949, 7664, 8216, 4363
'210979.recompute_res', False, False, 0.031, 107, 21147, 21588, 22247, 20830
'211096.recompute_res', False, False, 25.656, 13, 22816, 43162, 45117, 21681
'2111.recompute_res', False, False, 0.969, 102, 47860, 50293, 53131, 45317
'211127.recompute_res', False, False, 108.875, 99, 82079, 151033, 161603, 75616
'211132.recompute_res', False, False, 0.25, 357, 14525, 13342, 16475, 12103
'211272.recompute_res', False, False, 0.25, 24, 5499, 6039, 6577, 5072
'211293.recompute_res', False, False, 0.984, 12, 7885, 14677, 14936, 7612
'211370.recompute_res', False, False, 99.172, 59, 76298, 144692, 150282, 72456
'21153.recompute_res', False, False, 12.188, 49, 22067, 40249, 42406, 20520
'211539.recompute_res', False, False, 10.734, 369, 99415, 106959, 110274, 97414
'21158.recompute_res', False, False, 39.047, 23, 30457, 56837, 60125, 28481
'211658.recompute_res', False, False, 94.031, 721, 488388, 853125, 872541, 468497
'211673.recompute_res', False, True, '', '', '', '', '', ''
'211674.recompute_res', False, False, 16.641, 49, 12345, 21576, 24967, 11089
'211880.recompute_res', False, False, 4.547, 277, 26560, 29234, 38183, 21302
'212050.recompute_res', False, False, 49.938, 126, 67498, 113299, 121541, 61063
'21206.recompute_res', False, False, 75.969, 104, 82914, 135308, 143772, 75525
'212082.recompute_res', False, False, 0.641, 104, 16386, 24270, 25781, 15179
'212263.recompute_res', True, False
'212281.recompute_res', False, False, 53.875, 338, 105081, 170657, 181831, 94743
'212309.recompute_res', False, False, 0.172, 24, 5148, 5754, 6190, 4717
'212340.recompute_res', False, True, '', '', '', '', '', ''
'21235.recompute_res', False, False, 92.891, 139, 148246, 274779, 283230, 142085
'212355.recompute_res', False, False, 61.5, 701, 147093, 230585, 248085, 131672
'212392.recompute_res', False, False, 89.844, 37, 80659, 156425, 160422, 78346
'212393.recompute_res', False, False, 87.672, 37, 80616, 156184, 160272, 78243
'212418.recompute_res', False, False, 30.344, 624, 305237, 445479, 458702, 293178
'212491.recompute_res', False, False, 0.297, 544, 117310, 114078, 118397, 114078
'212568.recompute_res', False, False, 36.312, 74, 24357, 42947, 47858, 21584
'212630.recompute_res', False, False, 0.0, 39, 15253, 15340, 15457, 15209
'212673.recompute_res', False, False, 0.016, 99, 9502, 8922, 9723, 8922
'212725.recompute_res', False, False, 72.109, 524, 141784, 229217, 248037, 128532
'212778.recompute_res', False, False, 38.547, 13, 33203, 62945, 66214, 31491
'212803.recompute_res', False, False, 42.328, 13, 31377, 58980, 62448, 29672
'212835.recompute_res', False, False, 0.062, 29, 5653, 5117, 5926, 5117
'212981.recompute_res', False, False, 0.453, 24, 7559, 8636, 9238, 7055
'212992.recompute_res', False, False, 0.047, 34, 14626, 14134, 14782, 14083
'212999.recompute_res', False, False, 0.312, 24, 6980, 7763, 8371, 6470
'213001.recompute_res', False, False, 7.812, 28, 11069, 17626, 19280, 9516
'213079.recompute_res', False, False, 0.406, 149, 14705, 17226, 19402, 12860
'213152.recompute_res', False, False, 0.0, 29, 626, 574, 722, 561
'213260.recompute_res', False, False, 0.016, 49, 16599, 16304, 16745, 16304
'213270.recompute_res', False, False, 0.0, 37, 2241, 2167, 2314, 2167
'213307.recompute_res', False, False, 0.016, 37, 5012, 4718, 5085, 4718
'213372.recompute_res', False, False, 1.172, 185, 41773, 40866, 44281, 38378
'213406.recompute_res', False, False, 1.016, 61, 9479, 17071, 17841, 8911
'213555.recompute_res', False, False, 2.375, 4, 3460, 6478, 6754, 3270
'21364.recompute_res', False, False, 0.672, 54, 7438, 7302, 8539, 6522
'213680.recompute_res', False, False, 0.172, 89, 25219, 23512, 25490, 23512
'213697.recompute_res', False, False, 1.969, 117, 16411, 19438, 21574, 14051
'213711.recompute_res', False, False, 0.875, 50, 7878, 10186, 11425, 6849
'213712.recompute_res', False, False, 9.031, 49, 32804, 52365, 54020, 31181
'213732.recompute_res', False, False, 1.406, 379, 24235, 31084, 34767, 21498
'213737.recompute_res', False, False, 5.266, 648, 100179, 154122, 164443, 94363
'213746.recompute_res', False, False, 12.688, 55, 10183, 17756, 20066, 9177
'213764.recompute_res', False, False, 4.25, 49, 16255, 21676, 22898, 15237
'21378.recompute_res', False, False, 3.125, 47, 13083, 16507, 18116, 11437
'213780.recompute_res', False, False, 4.141, 149, 44695, 46933, 51518, 40162
'21379.recompute_res', False, False, 5.594, 299, 29237, 41303, 48391, 23687
'213814.recompute_res', False, False, 0.016, 19, 4040, 4160, 4310, 3921
'213824.recompute_res', True, False
'214027.recompute_res', False, False, 4.859, 47, 11878, 21549, 23053, 10883
'21403.recompute_res', False, False, 0.031, 24, 5129, 5530, 5673, 4926
'214098.recompute_res', False, False, 28.859, 164, 37884, 68279, 73967, 34664
'214276.recompute_res', False, False, 0.234, 317, 79602, 82726, 85216, 77993
'214353.recompute_res', False, False, 35.359, 37, 48648, 92945, 95913, 46663
'214373.recompute_res', False, False, 33.25, 41, 46075, 85738, 88391, 44223
'21446.recompute_res', False, False, 0.016, 74, 8901, 8529, 9048, 8529
'21447.recompute_res', False, False, 0.0, 1, 24, 24, 24, 24
'214577.recompute_res', False, False, 422.922, 155, 199797, 364981, 390745, 185220
'214672.recompute_res', False, False, 2.516, 35, 8925, 13729, 14846, 7777
'214688.recompute_res', False, False, 0.141, 49, 3216, 3568, 4257, 2613
'21469.recompute_res', False, False, 3.219, 271, 148890, 174432, 178046, 145323
'214737.recompute_res', False, False, 0.391, 311, 141225, 137561, 141971, 137553
'214754.recompute_res', False, False, 0.094, 277, 9504, 10298, 13019, 8381
'214771.recompute_res', False, False, 5.188, 209, 27848, 35121, 39758, 24354
'214798.recompute_res', False, False, 10.938, 29, 15191, 27960, 29446, 14192
'214851.recompute_res', False, False, 8.672, 304, 58215, 90160, 96897, 52444
'214981.recompute_res', False, False, 8.062, 232, 31142, 52527, 58095, 27270
'215038.recompute_res', False, False, 413.172, 155, 192745, 352100, 376725, 178740
'215092.recompute_res', False, False, 2.438, 31, 14815, 18516, 19580, 13820
'215111.recompute_res', False, False, 8.375, 14, 5636, 9299, 10675, 4698
'215170.recompute_res', False, False, 47.594, 37, 30420, 55762, 59654, 27965
