'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_print_total'
'210964.3.recompute_res', False, False, 0.017, 24, 9469, 8216, 7664, 7405
'210979.3.recompute_res', False, False, 0.026, 107, 22836, 22247, 21588, 21588
'211096.3.recompute_res', False, False, 2.027, 13, 45356, 45117, 43162, 34175
'2111.3.recompute_res', False, False, 0.098, 102, 60235, 53131, 50293, 49499
'211127.3.recompute_res', False, False, 3.972, 99, 172084, 161603, 151033, 107033
'211132.3.recompute_res', False, False, 0.092, 357, 22942, 16475, 13342, 13342
'211272.3.recompute_res', False, False, 0.008, 24, 7647, 6577, 6039, 6039
'211293.3.recompute_res', False, False, 0.035, 12, 15359, 14936, 14677, 13220
'211370.3.recompute_res', False, False, 2.729, 59, 143836, 150282, 144692, 112694
'21153.3.recompute_res', False, False, 0.353, 49, 45969, 42406, 40249, 36033
'211539.3.recompute_res', False, False, 0.582, 369, 112041, 110274, 106959, 100774
'21158.3.recompute_res', False, False, 0.979, 23, 68294, 60125, 56837, 56811
'211658.3.recompute_res', False, False, 3.751, 721, 916676, 872541, 853125, 834747
'211673.3.recompute_res', False, True, '', '', '', '', '', ''
'211674.3.recompute_res', False, False, 2.82, 49, 29516, 24967, 21576, 15031
'211880.3.recompute_res', False, False, 0.248, 277, 49998, 38183, 29234, 25213
'212050.3.recompute_res', False, False, 2.091, 126, 136497, 121541, 113299, 90000
'21206.3.recompute_res', False, False, 3.609, 104, 160705, 143772, 135308, 112314
'212082.3.recompute_res', False, False, 0.031, 104, 28790, 25781, 24270, 24214
'212263.3.recompute_res', False, False, 1.094, 9, 21028, 16255, 14628, 11557
'212281.3.recompute_res', False, False, 2.072, 338, 204113, 181831, 170657, 149096
'212309.3.recompute_res', False, False, 0.006, 24, 7042, 6190, 5754, 5754
'212340.3.recompute_res', False, True, '', '', '', '', '', ''
'21235.3.recompute_res', False, False, 2.907, 139, 278747, 283230, 274779, 227645
'212355.3.recompute_res', False, False, 1.234, 701, 294005, 248085, 230585, 230585
'212392.3.recompute_res', False, False, 3.593, 37, 134052, 160422, 156425, 105132
'212393.3.recompute_res', False, False, 3.587, 37, 134353, 160272, 156184, 104696
'212418.3.recompute_res', False, False, 1.964, 624, 487824, 458702, 445479, 433738
'212491.3.recompute_res', False, False, 0.509, 544, 127006, 118397, 114078, 114078
'212568.3.recompute_res', False, False, 1.807, 74, 67212, 47858, 42947, 25144
'212630.3.recompute_res', False, False, 0.009, 39, 15500, 15457, 15340, 15340
'212673.3.recompute_res', False, False, 0.019, 99, 11242, 9723, 8922, 8922
'212725.3.recompute_res', False, False, 3.898, 524, 283617, 248037, 229217, 195029
'212778.3.recompute_res', False, False, 4.682, 13, 61899, 66214, 62945, 45189
'212803.3.recompute_res', False, False, 6.035, 13, 59664, 62448, 58980, 40922
'212835.3.recompute_res', False, False, 0.014, 29, 7261, 5926, 5117, 5117
'212981.3.recompute_res', False, False, 0.011, 24, 10532, 9238, 8636, 8636
'212992.3.recompute_res', False, False, 0.013, 34, 16295, 14782, 14134, 14131
'212999.3.recompute_res', False, False, 0.012, 24, 9691, 8371, 7763, 7763
'213001.3.recompute_res', False, False, 0.124, 28, 23600, 19280, 17626, 16998
'213079.3.recompute_res', False, False, 0.043, 149, 24190, 19402, 17226, 17226
'213152.3.recompute_res', False, False, 0.005, 29, 822, 722, 574, 574
'213260.3.recompute_res', False, False, 0.012, 49, 17484, 16745, 16304, 16304
'213270.3.recompute_res', False, False, 0.007, 37, 2463, 2314, 2167, 2167
'213307.3.recompute_res', False, False, 0.008, 37, 5894, 5085, 4718, 4718
'213372.3.recompute_res', False, False, 0.079, 185, 52985, 44281, 40866, 40612
'213406.3.recompute_res', False, False, 0.062, 61, 17349, 17841, 17071, 14173
'213555.3.recompute_res', False, False, 0.169, 4, 5914, 6754, 6478, 4315
'21364.3.recompute_res', False, False, 0.021, 54, 11078, 8539, 7302, 7302
'213680.3.recompute_res', False, False, 0.041, 89, 30340, 25490, 23512, 23512
'213697.3.recompute_res', False, False, 0.143, 117, 28573, 21574, 19438, 17428
'213711.3.recompute_res', False, False, 0.046, 50, 13121, 11425, 10186, 8691
'213712.3.recompute_res', False, False, 0.246, 49, 56360, 54020, 52365, 47888
'213732.3.recompute_res', False, False, 0.196, 379, 38281, 34767, 31084, 25775
'213737.3.recompute_res', False, False, 0.499, 648, 179777, 164443, 154122, 153757
'213746.3.recompute_res', False, False, 2.785, 55, 23757, 20066, 17756, 11930
'213764.3.recompute_res', False, False, 0.298, 49, 20565, 22898, 21676, 15856
'21378.3.recompute_res', False, False, 0.039, 47, 22383, 18116, 16507, 16507
'213780.3.recompute_res', False, False, 0.139, 149, 63110, 51518, 46933, 46612
'21379.3.recompute_res', False, False, 0.262, 299, 61668, 48391, 41303, 36908
