'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_base_total'
'509287.recompute_res', False, False, 367.069, 240, 152931, 251642, 267494, 142112
'51167.recompute_res', False, False, 0.316, 7, 5653, 5366, 5805, 5294
'513146.recompute_res', False, False, 3038.288, 24, 28729, 47424, 54594, 24540
'518799.recompute_res', False, False, 0.258, 14, 13464, 13012, 13694, 12911
'526936.recompute_res', False, False, 6.721, 9, 7974, 8960, 9475, 7509
'526984.recompute_res', False, False, 640.761, 74, 130498, 235411, 246257, 121282
'528273.recompute_res', False, False, 420.623, 12, 18379, 32366, 35213, 16591
'529352.recompute_res', False, False, 140.783, 14, 12134, 20190, 22395, 10512
'533791.recompute_res', False, False, 8.893, 9, 4067, 6233, 7042, 3500
'53476.recompute_res', False, False, 4219.518, 41, 36341, 54704, 72777, 29238
'535471.recompute_res', False, False, 34.251, 114, 30980, 51725, 56064, 27264
'543724.recompute_res', False, False, 292.794, 483, 230839, 360603, 381130, 213885
'543968.recompute_res', False, False, 54.811, 14, 9310, 15218, 16416, 8288
'546331.recompute_res', False, False, 746.577, 74, 129196, 237458, 248626, 120472
'550105.recompute_res', False, False, 571.924, 13, 23463, 41248, 44275, 21481
'550885.recompute_res', False, False, 629.288, 74, 128601, 232577, 243339, 119503
'551426.recompute_res', False, False, 12.954, 14, 9520, 11636, 12411, 8934
'553754.recompute_res', False, False, 52.469, 14, 10415, 16627, 18310, 9029
'557688.recompute_res', False, False, 392.906, 96, 77631, 130429, 143212, 68272
'56212.recompute_res', False, False, 707.401, 74, 129196, 237458, 248626, 120472
'570427.recompute_res', False, False, 2.183, 121, 54013, 61178, 62300, 53030
'577809.recompute_res', False, False, 3.006, 5, 3577, 4492, 4933, 3170
'578907.recompute_res', False, False, 1161.682, 14, 18607, 30051, 35821, 15352
'583084.recompute_res', False, False, 63.795, 14, 10698, 17168, 18935, 9265
'591812.recompute_res', False, False, 171.683, 14, 14251, 24001, 26502, 12493
'591862.recompute_res', False, False, 4.091, 5, 5025, 5407, 5856, 4627
'593059.recompute_res', False, False, 29.185, 14, 10298, 15270, 16780, 9030
'599115.recompute_res', True, False
'601992.recompute_res', False, False, 261.537, 8, 13161, 23769, 25294, 12237
'605285.recompute_res', False, False, 42.934, 49, 60089, 89476, 93291, 56162
'606218.recompute_res', False, False, 3.113, 27, 19350, 19527, 20306, 18701
'609167.recompute_res', False, False, 0.419, 9, 1678, 1521, 1750, 1475
'609380.recompute_res', False, False, 329.298, 14, 16796, 28725, 31805, 14807
'610416.recompute_res', False, False, 758.043, 13, 22398, 38836, 41686, 20606
'613846.recompute_res', False, False, 649.629, 74, 128917, 233046, 243925, 119672
'61608.recompute_res', False, False, 1495.168, 384, 230299, 381502, 418048, 202490
'616393.recompute_res', False, False, 32.896, 49, 14129, 25395, 26356, 13336
'61972.recompute_res', False, False, 2.719, 138, 50478, 52836, 55799, 47663
'620408.recompute_res', False, False, 5.6, 14, 11951, 11080, 12353, 10871
'620664.recompute_res', False, False, 635.487, 74, 128695, 233372, 244156, 119706
'621125.recompute_res', False, False, 236.13, 14, 15152, 26002, 28495, 13379
'622610.recompute_res', False, False, 0.641, 6, 8620, 8289, 8779, 8241
'62353.recompute_res', False, False, 330.848, 205, 129278, 217092, 225870, 121931
'625397.recompute_res', True, False
'628880.recompute_res', False, False, 25.404, 142, 23154, 30912, 35441, 19981
'634389.recompute_res', False, False, 32.54, 150, 49671, 63532, 69858, 43926
'636331.recompute_res', True, False
'636415.recompute_res', False, False, 18.892, 246, 159189, 194446, 205718, 149541
'641383.recompute_res', False, False, 3005.56, 166, 132356, 193054, 227444, 107803
'646861.recompute_res', False, False, 147.998, 13, 17715, 31871, 33586, 16456
'649300.recompute_res', False, False, 51.671, 49, 71618, 107459, 111256, 67674
'652387.recompute_res', False, False, 1059.066, 126, 104288, 147351, 160545, 93362
'653763.recompute_res', False, False, 280.311, 21, 22112, 37387, 40080, 20211
'653894.recompute_res', False, False, 144.13, 9, 4535, 7613, 8281, 4181
'654248.recompute_res', False, False, 26.304, 21, 20277, 31754, 33223, 18902
'656381.recompute_res', False, False, 18.412, 32, 17611, 30407, 32264, 16168
'661095.recompute_res', False, False, 196.911, 14, 14312, 24239, 26699, 12587
'663046.recompute_res', False, False, 1520.798, 13, 24932, 46138, 48595, 23607
'663520.recompute_res', False, False, 0.444, 1, 1062, 1131, 1226, 984
'665563.recompute_res', False, False, 184.73, 34, 38758, 67470, 70349, 36406
'666091.recompute_res', False, False, 239.836, 21, 23646, 33294, 36588, 21364
